ChunkID, Package Name, Class Type, Hard or Soft Chunk, File Size, Other Chunks
0,/Engine/Animation/DefaultAnimBoneCompressionSettings,AnimBoneCompressionSettings,Hard,4709,None
0,/Engine/Animation/DefaultAnimCurveCompressionSettings,AnimCurveCompressionSettings,Hard,1046,None
0,/Engine/ArtTools/RenderToTexture/Materials/Debug/M_Emissive_Color,Material,Hard,4547,None
0,/Engine/ArtTools/RenderToTexture/Meshes/S_1_Unit_Plane,StaticMesh,Hard,5694,None
0,/Engine/BasicShapes/BasicShapeMaterial,Material,Hard,52136,None
0,/Engine/BasicShapes/Cone,StaticMesh,Hard,38615,None
0,/Engine/BasicShapes/Cube,StaticMesh,Hard,8667,None
0,/Engine/BasicShapes/Cylinder,StaticMesh,Hard,56267,None
0,/Engine/BasicShapes/Plane,StaticMesh,Hard,5010,None
0,/Engine/BasicShapes/Sphere,StaticMesh,Hard,74487,None
0,/Engine/EditorBlueprintResources/StandardMacros,Blueprint,Hard,1021,None
0,/Engine/EditorBlueprintResources/StandardMacros,BlueprintGeneratedClass,Hard,1021,None
0,/Engine/EditorLandscapeResources/DataLayer,LandscapeLayerInfoObject,Hard,746,None
0,/Engine/EditorLandscapeResources/DefaultAlphaTexture,Texture2D,Hard,22947,None
0,/Engine/EditorMaterials/Camera/CineMat,Material,Hard,15775,None
0,/Engine/EditorMaterials/Camera/MI_CineMat_Rig,MaterialInstanceConstant,Hard,1841,None
0,/Engine/EditorMaterials/MAT_Groups_Toggle,Texture2D,Hard,1487,None
0,/Engine/EditorMaterials/MAT_Groups_Visibility,Texture2D,Hard,1495,None
0,/Engine/EditorMaterials/MatineeGroups/MAT_ColorTrack,Texture2D,Hard,1519,None
0,/Engine/EditorMaterials/MatineeGroups/MAT_Groups_Anim,Texture2D,Hard,1497,None
0,/Engine/EditorMaterials/MatineeGroups/MAT_Groups_AudioMaster,Texture2D,Hard,1511,None
0,/Engine/EditorMaterials/MatineeGroups/MAT_Groups_Director,Texture2D,Hard,1505,None
0,/Engine/EditorMaterials/MatineeGroups/MAT_Groups_Event,Texture2D,Hard,1499,None
0,/Engine/EditorMaterials/MatineeGroups/MAT_Groups_Fade,Texture2D,Hard,1311,None
0,/Engine/EditorMaterials/MatineeGroups/MAT_Groups_Float,Texture2D,Hard,1499,None
0,/Engine/EditorMaterials/MatineeGroups/MAT_Groups_Move,Texture2D,Hard,1497,None
0,/Engine/EditorMaterials/MatineeGroups/MAT_Groups_Slomo,Texture2D,Hard,1499,None
0,/Engine/EditorMaterials/MatineeGroups/MAT_Groups_Sound,Texture2D,Hard,1499,None
0,/Engine/EditorMaterials/MatineeGroups/MAT_Groups_Vector,Texture2D,Hard,1501,None
0,/Engine/EditorMaterials/ParticleSystems/PSysThumbnail_NoImage,Texture2D,Hard,44890,None
0,/Engine/EditorMaterials/ParticleSystems/PSysThumbnail_OOD,Texture2D,Hard,23016,None
0,/Engine/EditorMaterials/PreviewShadowIndicator,Texture2D,Hard,350966,None
0,/Engine/EditorMaterials/PreviewShadowIndicatorMaterial,Material,Hard,3693,None
0,/Engine/EditorMeshes/Camera/SM_CraneRig_Arm,StaticMesh,Hard,5026,None
0,/Engine/EditorMeshes/Camera/SM_CraneRig_Base,StaticMesh,Hard,79288,None
0,/Engine/EditorMeshes/Camera/SM_CraneRig_Body,StaticMesh,Hard,74528,None
0,/Engine/EditorMeshes/Camera/SM_CraneRig_Mount,StaticMesh,Hard,17926,None
0,/Engine/EditorMeshes/Camera/SM_RailRig_Mount,StaticMesh,Hard,123820,None
0,/Engine/EditorMeshes/Camera/SM_RailRig_Track,StaticMesh,Hard,98452,None
0,/Engine/EditorResources/AudioIcons/S_AudioComponent_AutoActivate,Texture2D,Hard,350967,None
0,/Engine/EditorResources/BSPVertex,Texture2D,Hard,1471,None
0,/Engine/EditorResources/EmptyActor,Texture2D,Hard,263353,None
0,/Engine/EditorResources/LightIcons/S_LightError,Texture2D,Hard,263435,None
0,/Engine/EditorResources/S_Actor,Texture2D,Hard,88633,None
0,/Engine/EditorResources/S_Note,Texture2D,Hard,350910,None
0,/Engine/EditorResources/S_Solver,Texture2D,Hard,350914,None
0,/Engine/EditorResources/S_Terrain,Texture2D,Hard,350916,None
0,/Engine/EditorResources/S_Trigger,Texture2D,Hard,350916,None
0,/Engine/EditorResources/SequenceRecorder/Countdown,Texture2D,Hard,148623,None
0,/Engine/EditorResources/SequenceRecorder/RecordingIndicator,Texture2D,Hard,2209,None
0,/Engine/EngineDamageTypes/DmgTypeBP_Environmental,Blueprint,Hard,1178,None
0,/Engine/EngineDamageTypes/DmgTypeBP_Environmental,BlueprintGeneratedClass,Hard,1178,None
0,/Engine/EngineDebugMaterials/DebugEditorMaterial,Material,Hard,5333,None
0,/Engine/EngineDebugMaterials/DebugMeshMaterial,Material,Hard,4687,None
0,/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent,Material,Hard,4717,None
0,/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP,Material,Hard,9321,None
0,/Engine/EngineDebugMaterials/VertexColorMaterial,Material,Hard,29895,None
0,/Engine/EngineDebugMaterials/VolumeToRender,VolumeTexture,Hard,9133,None
0,/Engine/EngineDebugMaterials/WireframeMaterial,Material,Hard,65062,None
0,/Engine/EngineFonts/Faces/DroidSansFallback,FontFace,Hard,3940622,None
0,/Engine/EngineFonts/Faces/RobotoBold,FontFace,Hard,164197,None
0,/Engine/EngineFonts/Faces/RobotoBoldItalic,FontFace,Hard,166631,None
0,/Engine/EngineFonts/Faces/RobotoItalic,FontFace,Hard,161491,None
0,/Engine/EngineFonts/Faces/RobotoLight,FontFace,Hard,171303,None
0,/Engine/EngineFonts/Faces/RobotoRegular,FontFace,Hard,159362,None
0,/Engine/EngineFonts/Roboto,Font,Hard,3002,None
0,/Engine/EngineFonts/RobotoDistanceField,Font,Hard,138929,None
0,/Engine/EngineMaterials/BaseFlattenDiffuseMap,Texture2D,Hard,1857,None
0,/Engine/EngineMaterials/BaseFlattenEmissiveMap,Texture2D,Hard,1919,None
0,/Engine/EngineMaterials/BaseFlattenGrayscaleMap,Texture2D,Hard,2664,None
0,/Engine/EngineMaterials/BaseFlattenMaterial,Material,Hard,29839,None
0,/Engine/EngineMaterials/BaseFlattenNormalMap,Texture2D,Hard,1304,None
0,/Engine/EngineMaterials/BlueNoise,Texture2D,Hard,3671221,None
0,/Engine/EngineMaterials/DefaultBloomKernel,Texture2D,Hard,33555655,None
0,/Engine/EngineMaterials/DefaultBokeh,Texture2D,Hard,23217,None
0,/Engine/EngineMaterials/DefaultCalibrationColor,Texture2D,Hard,1037852,None
0,/Engine/EngineMaterials/DefaultCalibrationGrayscale,Texture2D,Hard,2074794,None
0,/Engine/EngineMaterials/DefaultDeferredDecalMaterial,Material,Hard,31925,None
0,/Engine/EngineMaterials/DefaultDiffuse,Texture2D,Hard,700391,None
0,/Engine/EngineMaterials/DefaultLightFunctionMaterial,Material,Hard,4088,None
0,/Engine/EngineMaterials/DefaultMaterial,Material,Hard,87887,None
0,/Engine/EngineMaterials/DefaultPhysicalMaterial,PhysicalMaterial,Hard,659,None
0,/Engine/EngineMaterials/DefaultPostProcessMaterial,Material,Hard,7339,None
0,/Engine/EngineMaterials/DefaultTextMaterialOpaque,Material,Hard,12307,None
0,/Engine/EngineMaterials/DefaultWhiteGrid,Texture2D,Hard,12159,None
0,/Engine/EngineMaterials/DefaultWhiteGrid_Low,Texture2D,Hard,987,None
0,/Engine/EngineMaterials/EmissiveMeshMaterial,Material,Hard,5618,None
0,/Engine/EngineMaterials/GizmoMaterial,Material,Hard,4505,None
0,/Engine/EngineMaterials/Good64x64TilingNoiseHighFreq,Texture2D,Hard,5388,None
0,/Engine/EngineMaterials/InvalidLightmapSettings,Texture2D,Hard,176085,None
0,/Engine/EngineMaterials/M_InvalidLightmapSettings,Material,Hard,14060,None
0,/Engine/EngineMaterials/MiniFont,Texture2D,Hard,3180,None
0,/Engine/EngineMaterials/PhAT_JointLimitMaterial,Material,Hard,5527,None
0,/Engine/EngineMaterials/PPM_DefaultCalibrationColor,Material,Hard,4697,None
0,/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale,Material,Hard,4534,None
0,/Engine/EngineMaterials/PreintegratedSkinBRDF,Texture2D,Hard,263125,None
0,/Engine/EngineMaterials/RemoveSurfaceMaterial,Material,Hard,3114,None
0,/Engine/EngineMaterials/T_Default_Material_Grid_M,Texture2D,Hard,350927,None
0,/Engine/EngineMaterials/T_Default_Material_Grid_N,Texture2D,Hard,45302,None
